customerID,Churn,Contract,PaperlessBilling,PaymentMethod,PhoneService,MultipleLines,gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Monthly,Total,churn_bin,qtd_servicos,tenure_faixa
0002-ORFBO,No,One Year,1,Mailed Check,1,0,Female,0,1,1,9,Dsl,0,1,0,1,1,0,65.6,593.3,0.0,3.0,0–12
0003-MKNFE,No,Month-To-Month,0,Mailed Check,1,1,Male,0,0,0,9,Dsl,0,0,0,0,0,1,59.9,542.4,0.0,1.0,0–12
0004-TLHLJ,Yes,Month-To-Month,1,Electronic Check,1,0,Male,0,0,0,4,Fiber Optic,0,0,1,0,0,0,73.9,280.85,1.0,1.0,0–12
0011-IGKFF,Yes,Month-To-Month,1,Electronic Check,1,0,Male,1,1,0,13,Fiber Optic,0,1,1,0,1,1,98.0,1237.85,1.0,4.0,13–24
0013-EXCHZ,Yes,Month-To-Month,1,Mailed Check,1,0,Female,1,1,0,3,Fiber Optic,0,0,0,1,1,0,83.9,267.4,1.0,2.0,0–12
0013-MHZWF,No,Month-To-Month,1,Credit Card (Automatic),1,0,Female,0,0,1,9,Dsl,0,0,0,1,1,1,69.4,571.45,0.0,3.0,0–12
0013-SMEOE,No,Two Year,1,Bank Transfer (Automatic),1,0,Female,1,1,0,71,Fiber Optic,1,1,1,1,1,1,109.7,7904.25,0.0,6.0,49–72
0014-BMAQU,No,Two Year,1,Credit Card (Automatic),1,1,Male,0,1,0,63,Fiber Optic,1,0,0,1,0,0,84.65,5377.8,0.0,2.0,49–72
0015-UOCOJ,No,Month-To-Month,1,Electronic Check,1,0,Female,1,0,0,7,Dsl,1,0,0,0,0,0,48.2,340.35,0.0,1.0,0–12
0016-QLJIS,No,Two Year,1,Mailed Check,1,1,Female,0,1,1,65,Dsl,1,1,1,1,1,1,90.45,5957.9,0.0,6.0,49–72
0017-DINOC,No,Two Year,0,Credit Card (Automatic),0,No Phone Service,Male,0,0,0,54,Dsl,1,0,0,1,1,0,45.2,2460.55,0.0,3.0,49–72
0017-IUDMW,No,Two Year,1,Credit Card (Automatic),1,1,Female,0,1,1,72,Fiber Optic,1,1,1,1,1,1,116.8,8456.75,0.0,6.0,49–72
0018-NYROU,No,Month-To-Month,1,Electronic Check,1,0,Female,0,1,0,5,Fiber Optic,0,0,0,0,0,0,68.95,351.5,0.0,0.0,0–12
0019-EFAEP,No,Two Year,1,Bank Transfer (Automatic),1,1,Female,0,0,0,72,Fiber Optic,1,1,1,0,1,0,101.3,7261.25,0.0,4.0,49–72
0019-GFNTW,No,Two Year,0,Bank Transfer (Automatic),0,No Phone Service,Female,0,0,0,56,Dsl,1,1,1,1,0,0,45.05,2560.1,0.0,4.0,49–72
0020-INWCK,No,Two Year,1,Credit Card (Automatic),1,1,Female,0,1,1,71,Fiber Optic,0,1,1,0,0,1,95.75,6849.4,0.0,3.0,49–72
0020-JDNXP,No,One Year,0,Mailed Check,0,No Phone Service,Female,0,1,1,34,Dsl,1,0,1,1,1,1,61.25,1993.2,0.0,5.0,25–48
0021-IKXGC,No,Month-To-Month,1,Electronic Check,1,1,Female,1,0,0,1,Fiber Optic,0,0,0,0,0,0,72.1,72.1,0.0,0.0,0–12
0022-TCJCI,Yes,One Year,0,Credit Card (Automatic),1,0,Male,1,0,0,45,Dsl,1,0,1,0,0,1,62.7,2791.5,1.0,3.0,25–48
